,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Covariance,Correlation,RMSE,R2
0,a1,"{'a1': (0.167718, 2.77e-05, -2.77e-05)}",{},{},0.007825,-5.603e-12
1,a1*x1 + a2,"{'a1': (2.32306e-09, 2.14e-11, -2.14e-11), 'a2': (0.167022, 2.66e-05, -2.66e-05)}","{'a1, a2': -1.3752189693606374e-16, 'a1, a1': 4.587477172896564e-22, 'a2, a2': 7.08558844910795e-10}","{'a1, a2': -0.2416}",0.007307,0.1282
2,a1/(a3 + x1) + a2,"{'a1': (-0.00412793, 8.43e-05, -8.43e-05), 'a2': (0.17432, 2.58e-05, -2.58e-05), 'a3': (0.312842, 0.00633, -0.00633)}","{'a1, a2': -8.47562352507529e-10, 'a1, a3': -5.292915263922566e-07, 'a2, a3': 4.8993193259329294e-08, 'a1, a1': 7.111655631901758e-09, 'a2, a2': 6.653718528919154e-10, 'a3, a3': 4.010097657877214e-05}","{'a1, a2': -0.3897, 'a1, a3': -0.9919, 'a2, a3': 0.3}",0.004767,0.6289
3,a1 + a2/(x0 + x0/x1),"{'a1': (0.162379, 1.75e-05, -1.75e-05), 'a2': (2.78463, 0.00566, -0.00566)}","{'a1, a2': -6.131561454390792e-08, 'a1, a1': 3.074593995010217e-10, 'a2, a2': 3.19814557753454e-05}","{'a1, a2': -0.619}",0.003898,0.7519
4,a1 + a2/(x0 + x0/(x1 - x2)),"{'a1': (0.163401, 1.48e-05, -1.48e-05), 'a2': (2.62985, 0.00475, -0.00475)}","{'a1, a2': -3.697188709923688e-08, 'a1, a1': 2.1889089164448918e-10, 'a2, a2': 2.2521970846797388e-05}","{'a1, a2': -0.5259}",0.003557,0.7933
5,a2 - (a1*x1 + a3)/(x0*(a4 + x1)),"{'a1': (-2.03418, 0.00576, -0.00576), 'a2': (0.165954, 2.36e-05, -2.36e-05), 'a3': (0.37079, 0.00444, -0.00444), 'a4': (0.31746, 0.00378, -0.00378)}","{'a1, a2': 1.0415342275494924e-07, 'a1, a3': 1.2888984161308073e-06, 'a1, a4': -4.301511679272817e-06, 'a2, a3': 3.248895922621307e-08, 'a2, a4': -4.018271514790903e-10, 'a3, a4': 1.5376340417696696e-05, 'a1, a1': 3.321454047173362e-05, 'a2, a2': 5.567128265752086e-10, 'a3, a3': 1.970700196595042e-05, 'a4, a4': 1.4316813992499443e-05}","{'a1, a2': 0.7662, 'a1, a3': 0.0504, 'a1, a4': -0.1976, 'a2, a3': 0.3101, 'a2, a4': -0.004504, 'a3, a4': 0.9162}",0.003209,0.8319
6,a2 + (a1 + a4*x1)/((a3 + x1)*(a4 + x0)),"{'a1': (-0.374617, 0.00449, -0.00449), 'a2': (0.165942, 2.37e-05, -2.37e-05), 'a3': (0.317377, 0.00378, -0.00378), 'a4': (2.0619, 0.00594, -0.00594)}","{'a1, a2': -3.30697462019752e-08, 'a1, a3': -1.5538047858260597e-05, 'a1, a4': 1.3646463174306153e-06, 'a2, a3': -4.226123376223544e-10, 'a2, a4': -1.0828721140713895e-07, 'a3, a4': 4.4120041959855986e-06, 'a1, a1': 2.014458852075986e-05, 'a2, a2': 5.633732646379828e-10, 'a3, a3': 1.4310187357913475e-05, 'a4, a4': 3.524046324040479e-05}","{'a1, a2': -0.3108, 'a1, a3': -0.9155, 'a1, a4': 0.05117, 'a2, a3': -0.004717, 'a2, a4': -0.7692, 'a3, a4': 0.1965}",0.003209,0.8319
