n_walkers,time,error_black,error_white,avg_error
50,27.268812656402588,0.03453933126893416,0.033333235060351185,0.03393628316464267
100,51.44143271446228,0.028285145586813,0.02773286400671754,0.02800900479676527
200,116.18034362792969,0.02806703584950443,0.025864907747086607,0.02696597179829552
300,172.2375988960266,0.01132057112529189,0.008207237801144351,0.00976390446321812
400,229.60001468658447,0.009413143266721435,0.006396307923940137,0.007904725595330786
500,282.9975206851959,0.017071433753337528,0.015541297012212851,0.01630636538277519
700,386.3786344528198,0.0185725018726261,0.016301579612455264,0.017437040742540683
